trial_number,batch_size,dropout,ensemble_method,heads,hidden_dim,lr,num_layers,pooling,use_self_loops,weight_decay,val_accuracy,test_accuracy,state
75,128,0.6176941115655474,transform,4,256,0.003973811258700732,4,mean,True,3.513506025481332e-05,0.8709677419354839,0.7737556561085973,COMPLETE
76,64,0.6651649006729554,voting,4,64,0.003180385797345579,3,mean,True,4.8297054527477506e-05,0.8709677419354839,0.8009049773755657,COMPLETE
77,128,0.6463371411899872,concat,4,128,0.0051335810745039715,3,add,True,0.00011908130112110085,0.8709677419354839,0.8054298642533937,COMPLETE
78,64,0.6357592892344189,average,4,256,0.006890648684614056,2,mean,True,5.437731849549474e-05,0.8709677419354839,0.8280542986425339,COMPLETE
79,128,0.6090436043949304,transform,8,64,0.002513788656454307,4,max,True,0.0009996375470674738,0.45161290322580644,0.48868778280542985,COMPLETE
80,64,0.5328998068280787,transform,4,256,0.0036085523503983853,2,add,True,2.9409865300761832e-05,0.8387096774193549,0.8054298642533937,COMPLETE
81,64,0.5563277326716594,transform,4,128,0.0026132554283537653,3,mean,True,1.535877968433042e-05,0.9032258064516129,0.8371040723981901,COMPLETE
82,64,0.5854750170096841,transform,4,128,0.00019122128768347195,3,mean,True,1.7669198914201364e-05,0.5161290322580645,0.5882352941176471,COMPLETE
83,64,0.5761551200426525,transform,4,128,0.0019648140644878275,3,mean,True,1.0325752174164676e-05,0.8709677419354839,0.7420814479638009,COMPLETE
84,64,0.5649527108459493,transform,4,128,0.0015424511072478565,3,mean,True,2.4417322596500498e-05,0.9032258064516129,0.8190045248868778,COMPLETE
85,32,0.5815639077006075,average,8,128,0.004090864359581599,3,mean,True,1.360870374966373e-05,0.8709677419354839,0.8416289592760181,COMPLETE
86,64,0.5898973392410506,voting,4,64,0.0031980377400067797,4,mean,True,1.9441330355377415e-05,0.9032258064516129,0.7330316742081447,COMPLETE
87,128,0.6974638741268048,concat,8,256,0.0017670402418406234,2,add,True,0.000590213670151106,0.8709677419354839,0.8371040723981901,COMPLETE
88,64,0.6289611406766705,transform,4,64,0.0007353550623257562,3,max,True,1.6237585522440815e-05,0.41935483870967744,0.48868778280542985,COMPLETE
89,32,0.6593813166162521,average,8,256,0.002949228947743882,4,mean,True,2.2496738782426066e-05,0.8709677419354839,0.8009049773755657,COMPLETE
90,128,0.5976818059938155,transform,4,64,0.002307438902444123,2,mean,True,1.173718809393545e-05,0.9032258064516129,0.8235294117647058,COMPLETE
91,64,0.6036012416118683,transform,4,64,0.008564231955901556,2,mean,True,0.0008654156835011713,0.9032258064516129,0.8371040723981901,COMPLETE
92,64,0.6213331332883044,transform,4,64,0.007990138506952037,2,mean,True,0.000719648260453133,0.9354838709677419,0.8009049773755657,COMPLETE
93,64,0.6240680160639994,transform,4,64,0.006657758009186478,2,mean,True,0.0004820258026721777,0.8709677419354839,0.7239819004524887,COMPLETE
94,64,0.6433245270229833,transform,4,64,0.00602115349896887,2,mean,True,0.0007083536709279917,0.8709677419354839,0.7918552036199095,COMPLETE
95,64,0.6107898092909448,voting,4,64,0.008907029040929841,2,add,True,0.0008400307514060896,0.9032258064516129,0.8506787330316742,COMPLETE
96,64,0.6189917328296884,transform,4,256,0.0035582381792205655,3,mean,True,0.0005885096478728146,0.9032258064516129,0.8190045248868778,COMPLETE
97,64,0.5687060046705893,average,8,64,0.0077862091849656015,2,mean,True,0.0002875109645249589,0.8709677419354839,0.8506787330316742,COMPLETE
98,128,0.5393969221628725,concat,4,128,0.004351389840689226,1,max,True,0.00036310699631694873,0.8387096774193549,0.8009049773755657,COMPLETE
99,32,0.5806967824814984,transform,8,256,0.005065520577199631,3,add,True,1.3422528634581542e-05,0.8709677419354839,0.8190045248868778,COMPLETE
100,64,0.5925521702887446,average,4,64,0.0005876652295837008,4,mean,True,6.294077038023311e-05,0.8064516129032258,0.8144796380090498,COMPLETE
101,64,0.6043651296669545,transform,4,64,0.008141167792049474,2,mean,True,0.0006385564493494429,0.8709677419354839,0.7828054298642534,COMPLETE
102,64,0.5987428882350343,transform,4,64,0.0056619521942460945,2,mean,True,0.0009338683668913035,0.9032258064516129,0.8054298642533937,COMPLETE
103,64,0.5222684144389426,transform,4,64,0.009916577896579131,2,mean,True,0.0008164597648548864,0.9032258064516129,0.832579185520362,COMPLETE
104,64,0.6129618159253009,transform,4,64,0.006317251258196773,2,mean,True,3.673067637174457e-05,0.9032258064516129,0.8190045248868778,COMPLETE
105,128,0.6720065665525614,transform,4,256,0.0010396688081222786,2,mean,True,0.0005339662123060834,0.8709677419354839,0.8371040723981901,COMPLETE
106,64,0.5137920558843393,voting,8,64,0.0071929062669772795,3,mean,True,0.0007329540884554986,0.8709677419354839,0.8235294117647058,COMPLETE
107,128,0.606996400505162,transform,4,256,0.0048179758163230035,4,add,True,3.3359661230850514e-05,0.5806451612903226,0.48868778280542985,COMPLETE
108,32,0.5858799842011195,concat,4,64,0.00906106490324269,2,max,True,2.0485031862581104e-05,0.8709677419354839,0.7873303167420814,COMPLETE
109,64,0.6010344618052518,transform,8,256,0.0027617267846722906,3,mean,True,0.0007031750884036159,0.8709677419354839,0.8190045248868778,COMPLETE
110,128,0.621304585549369,average,4,256,0.00033794594344256916,2,mean,True,0.0001826541504929173,0.8709677419354839,0.8235294117647058,COMPLETE
111,64,0.6502663886420698,voting,4,64,0.005747782040970562,4,add,True,0.00028716662990703283,0.8709677419354839,0.8235294117647058,COMPLETE
112,64,0.6342139296644238,voting,4,64,0.006733136803242065,4,add,True,0.0002551961709866615,0.7741935483870968,0.5248868778280543,COMPLETE
113,64,0.6394066668836077,voting,4,64,0.0039679496389682985,4,add,True,0.0006454133007187968,0.8387096774193549,0.751131221719457,COMPLETE
114,64,0.6542723582922737,voting,4,64,0.007806910970970911,4,add,True,0.00034005596710242133,0.8709677419354839,0.8009049773755657,COMPLETE
115,64,0.6294834481270889,voting,4,64,0.0032226964466884234,4,add,True,6.850096970128463e-05,0.8387096774193549,0.7963800904977375,COMPLETE
116,128,0.6164149813250043,transform,4,128,0.0046004680974112925,4,mean,True,8.377954097750597e-05,0.8709677419354839,0.7782805429864253,COMPLETE
117,64,0.5301056432142673,transform,8,256,0.005230960770007645,3,add,True,4.345887741507109e-05,0.7419354838709677,0.7963800904977375,COMPLETE
118,128,0.5929573021588346,average,4,64,0.0062959552184287445,4,max,True,0.00044320536575485274,0.8709677419354839,0.8235294117647058,COMPLETE
119,32,0.6462222218339285,concat,4,256,0.0004594747768508518,2,mean,True,0.00014896697784752615,0.8709677419354839,0.8506787330316742,COMPLETE
120,64,0.6890996675130178,transform,8,64,0.0071212052545395485,3,mean,True,0.0009082134156347115,0.41935483870967744,0.48868778280542985,COMPLETE
121,32,0.6594016205867044,average,8,256,0.0008368088729808857,2,add,True,9.626511063737411e-05,0.8709677419354839,0.8280542986425339,COMPLETE
122,32,0.6395896241806206,average,8,256,0.0042212881200184415,2,add,True,5.626159504358974e-05,0.8387096774193549,0.8054298642533937,COMPLETE
123,32,0.6244064134884322,average,8,256,0.0013644642482483268,2,add,True,0.0007539054737090658,0.8387096774193549,0.8099547511312217,COMPLETE
124,32,0.6376670428632714,average,8,256,0.0010845115380471526,2,add,True,0.00010653329190828267,0.9032258064516129,0.8371040723981901,COMPLETE
125,32,0.6508751138504881,average,8,256,0.0009517938034364979,2,add,True,0.00013263213214608928,0.9032258064516129,0.8144796380090498,COMPLETE
126,128,0.6275680914517301,voting,4,128,0.0016351385106471211,4,mean,True,5.194141097307832e-05,0.8709677419354839,0.7963800904977375,COMPLETE
127,64,0.6071442734892297,transform,4,256,0.001259216372610863,2,add,True,0.0005685954612557338,0.7741935483870968,0.751131221719457,COMPLETE
128,64,0.6121860896071957,transform,8,64,0.0011814003112732075,3,mean,True,7.903779348402093e-05,0.8709677419354839,0.8235294117647058,COMPLETE
129,128,0.6317084330359165,average,4,256,0.003395174725723951,1,max,True,6.0087587001832696e-05,0.8064516129032258,0.7194570135746606,COMPLETE
130,64,0.6197132395774246,concat,4,64,0.0022625150170126718,2,mean,True,2.873051657999241e-05,0.8387096774193549,0.8235294117647058,COMPLETE
